frame,track_number,x,y,intensity,intensity_roiOnMeanXY,zeroed_X,zeroed_Y,lagNumber,distanceFromOrigin,dy-dt: distance,radius_gyration,asymmetry,skewness,kurtosis,fracDimension,netDispl,Straight,Experiment,SVM,nnDist_inFrame,n_segments,lag,meanLag,track_length,radius_gyration_scaled,radius_gyration_scaled_nSegments,radius_gyration_scaled_trackLength,roi_1,camera black estimate,roi_1 smoothed,d_squared,lag_squared,dt,velocity,direction_Relative_To_Origin,meanVelocity,intensity - mean roi1,intensity - mean roi1 and black,intensity_roiOnMeanXY - mean roi1,intensity_roiOnMeanXY - mean roi1 and black,intensity - smoothed roi_1,intensity_roiOnMeanXY - smoothed roi_1,nnCountInFrame_within_3_pixels,nnCountInFrame_within_5_pixels,nnCountInFrame_within_10_pixels,nnCountInFrame_within_20_pixels,nnCountInFrame_within_30_pixels,mean_X,mean_Y,distanceFromMean,meanLocDistanceFromCenter
0,0.0,5.258012906403282,26.11121684656989,159.59,,0.0,0.0,0.0,0.0,0.0,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,24.14190474273319,100.0,0.18,0.491,48.651,4.262,0.021,0.043,129.85199999999998,115.4,,0.0,0.0324,1.0,0.18,0.0,0.4913939393939394,33.08374329224077,-78.40245443558133,,,,,0,1,1,1,4,8.296537818442808,25.32475099956116,3.138656108845944,1.9309710623319534
1,0.0,5.213382411069711,26.286074825635986,162.5,,-0.0446304953335712,0.1748579790660969,1.0,0.1804638300513416,0.1804638300513416,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,9.696491175532222,100.0,0.271,0.491,48.651,4.262,0.021,0.043,127.688,113.9,,0.0325671939567995,0.073441,1.0,0.271,104.3183840061004,0.4913939393939394,35.993743292240765,-75.49245443558134,,,,,0,1,1,2,4,8.296537818442808,25.32475099956116,3.2295496225624256,1.9309710623319534
2,0.0,4.961658986093206,26.1849923127415,159.48,,-0.296353920310076,0.073775466171611,2.0,0.3053988629513695,0.1249350329000278,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,14.532871426861355,100.0,0.157,0.491,48.651,4.262,0.021,0.043,129.508,114.6,,0.0932684654919893,0.024649,1.0,0.157,166.0207276118456,0.4913939393939394,32.973743292240755,-78.51245443558135,,,,,0,1,1,3,6,8.296537818442808,25.32475099956116,3.4440429647952526,1.9309710623319534
3,0.0,5.117156774347645,26.161736372213927,158.7,,-0.1408561320556369,0.050519525644038,3.0,0.1496418137051728,-0.1557570492461966,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,0.1241468158126998,100.0,0.483,0.491,48.651,4.262,0.021,0.043,129.236,114.7,,0.0223926724089736,0.233289,1.0,0.483,160.26909683684977,0.4913939393939394,32.193743292240754,-79.29245443558135,,,,,1,2,2,4,8,8.296537818442808,25.32475099956116,3.287705634266294,1.9309710623319534
4,0.0,5.432706248182509,25.795405200467528,158.91,,0.1746933417792266,-0.315811646102361,4.0,0.3609082424604301,0.2112664287552572,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,13.43674853576482,100.0,0.233,0.491,48.651,4.262,0.021,0.043,127.076,113.7,,0.1302547594758766,0.054289,1.0,0.233,298.94947087548934,0.4913939393939394,32.40374329224076,-79.08245443558134,,,,,0,0,1,4,6,8.296537818442808,25.32475099956116,2.9022485489100305,1.9309710623319534
5,0.0,5.660676458869049,25.84511266732832,156.03,,0.4026635524657669,-0.2661041792415695,5.0,0.482648288813066,0.1217400463526359,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,13.188558021829524,100.0,0.086,0.491,48.651,4.262,0.021,0.043,127.64,114.3,,0.2329493706941807,0.0073959999999999,1.0,0.086,326.540884747684,0.4913939393939394,29.523743292240766,-81.96245443558134,,,,,0,0,1,3,5,8.296537818442808,25.32475099956116,2.686734332265742,1.9309710623319534
6,0.0,5.574323654235688,25.84881524581077,153.51,,0.3163107478324063,-0.2624016007591194,6.0,0.4109830766287639,-0.0716652121843021,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,0.1134575337811455,100.0,0.593,0.491,48.651,4.262,0.021,0.043,127.48000000000002,113.5,,0.1689070892752444,0.351649,1.0,0.593,320.3219505107147,0.4913939393939394,27.00374329224076,-84.48245443558135,,,,,1,1,2,4,6,8.296537818442808,25.32475099956116,2.7722000811642427,1.9309710623319534
7,0.0,5.031196992467748,26.085781359202247,152.7,,-0.2268159139355337,-0.0254354873676412,7.0,0.2282376455189653,-0.1827454311097985,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,14.33838544017022,100.0,0.158,0.491,48.651,4.262,0.021,0.043,125.96000000000002,113.2,,0.0520924228320408,0.024964,1.0,0.158,186.39850473653183,0.4913939393939394,26.193743292240757,-85.29245443558135,,,,,0,1,1,2,5,8.296537818442808,25.32475099956116,3.352852206416937,1.9309710623319534
8,0.0,5.15724974735891,25.990202720908307,159.58,,-0.100763159044372,-0.1210141256615813,8.0,0.157472641529373,-0.0707650039895923,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,16.82794317658624,100.0,0.331,0.491,48.651,4.262,0.021,0.043,128.052,109.7,,0.0247976328302384,0.109561,1.0,0.331,230.21733388651697,0.4913939393939394,33.07374329224078,-78.41245443558132,,,,,0,0,1,1,4,8.296537818442808,25.32475099956116,3.2090427835561086,1.9309710623319534
9,0.0,4.887494988963808,26.181336942758804,161.59,,-0.3705179174394741,0.0701200961889156,9.0,0.3770946234477864,0.2196219819184134,2.095,0.493,0.84,3.514,1.73,6.321,-0.096,Endothelial_NonBapta_bin10_crop_locsID_tracksRG.csv,1.0,13.51266714212246,100.0,0.631,0.491,48.651,4.262,0.021,0.043,128.548,113.2,,0.1422003550332278,0.398161,1.0,0.631,169.28357586592634,0.4913939393939394,35.08374329224077,-76.40245443558133,,,,,0,1,1,3,5,8.296537818442808,25.32475099956116,3.5150124453984484,1.9309710623319534
